# overetch,offset,thickness,sensitivity 
0.308580,-0.007580,29.861668,0.004400
0.200747,-0.227011,29.776804,0.004608
0.283272,-0.157505,29.903344,0.004467
0.250742,-0.124490,30.237195,0.004459
0.280712,-0.043004,30.414127,0.004446
0.264638,-0.030363,30.301629,0.004414
0.294149,0.086863,29.890351,0.004426
0.321189,0.250819,29.779252,0.004710
0.290101,0.159366,30.244104,0.004561
0.286229,0.123540,30.049993,0.004478
0.229112,-0.033909,30.093140,0.004376
0.400222,-0.045307,29.994795,0.004673
0.256852,0.015788,29.829091,0.004344
0.295923,-0.001764,29.842354,0.004379
0.377746,0.147363,30.128787,0.004711
0.332417,0.143637,29.949484,0.004560
0.339176,0.027332,30.091941,0.004501
0.325320,-0.024952,30.585029,0.004535
0.274269,-0.004441,30.094167,0.004390
0.200396,-0.109611,30.257679,0.004466
0.305241,0.095497,29.578282,0.004404
0.338103,-0.203040,29.943178,0.004617
0.334918,0.109916,29.711076,0.004491
0.259440,0.158615,29.901688,0.004491
0.353006,0.132734,30.276991,0.004643
0.295993,-0.025017,30.259960,0.004438
0.348887,0.390927,29.818557,0.005189
0.314977,-0.189432,30.113792,0.004580
0.245751,-0.083878,29.945505,0.004379
0.280791,0.117549,30.479508,0.004528
0.314680,0.081054,30.090661,0.004480
0.289855,0.095494,30.094336,0.004458
0.351084,0.066066,29.637728,0.004483
0.281187,0.026518,30.418398,0.004449
0.418170,0.060759,29.892565,0.004749
0.335368,-0.046445,30.014633,0.004478
0.311103,-0.138533,29.858407,0.004471
0.329938,-0.136120,30.031728,0.004526
0.363807,-0.007186,30.337544,0.004596
0.379002,-0.100647,30.105160,0.004637
0.281306,-0.198669,29.852436,0.004521
0.217796,0.034507,29.902702,0.004360
0.299597,0.021391,29.807996,0.004383
0.274114,0.187501,29.812340,0.004534
0.263258,0.026280,29.860350,0.004355
0.358660,0.029995,30.031013,0.004543
0.210412,0.012297,30.422580,0.004430
0.248595,-0.026648,30.023454,0.004366
0.301377,-0.149857,29.805711,0.004462
0.278029,-0.004115,29.370294,0.004291
0.364350,-0.079004,29.864978,0.004544
0.215448,-0.127287,30.105281,0.004453
0.290732,-0.187890,29.989073,0.004531
0.342140,-0.106805,29.956221,0.004516
0.250642,-0.188507,30.046493,0.004524
0.307133,0.064434,29.845251,0.004420
0.326508,-0.040292,30.074927,0.004466
0.306838,0.090369,29.913659,0.004450
0.289967,0.179832,29.571968,0.004496
0.220242,0.049990,30.315936,0.004427
0.366802,0.055088,29.780863,0.004541
0.351751,0.167408,29.781101,0.004612
0.264208,-0.238976,30.079277,0.004631
0.232728,-0.037957,29.948748,0.004357
0.379099,-0.174209,29.972087,0.004687
0.206460,0.152926,30.010392,0.004517
0.333259,-0.030290,30.097450,0.004482
0.345857,-0.106049,29.762779,0.004496
0.317852,-0.369417,30.158422,0.005034
0.249378,-0.054465,29.715296,0.004331
0.308913,-0.111733,29.603502,0.004405
